"month","day","service","temp","pressure","humidity","wind_speed","wind_deg","rain_3h","clouds_all","weekday_Monday","weekday_Saturday","weekday_Sunday","weekday_Thursday","weekday_Tuesday","weekday_Wednesday","weather_main_Clouds","weather_main_Drizzle","weather_main_Fog","weather_main_Mist","weather_main_Rain","weather_main_Snow"
1,28,112,274.453571428571,1019.875,90.8125,4.23214285714286,135.982142857143,0,3.67857142857143,0,1,0,0,0,0,0,0,0,1,0,0
1,29,82,275.223170731707,1015.40243902439,98.1829268292683,3.64634146341463,201.09756097561,0,82.3292682926829,0,0,1,0,0,0,0,0,0,1,0,0
1,30,83,275.872891566265,1015.66265060241,95.1927710843374,3.21686746987952,97.9518072289157,0,86.8433734939759,1,0,0,0,0,0,0,0,0,1,0,0
1,31,295,275.614406779661,1020.05762711864,91.1627118644068,4.25084745762712,87.4237288135593,1.7775,80.8813559322034,0,0,0,0,1,0,0,0,0,0,1,0
2,1,169,274.421715976331,1021.40828402367,95.2130177514793,5.12426035502959,145.502958579882,0,43.7396449704142,0,0,0,0,0,1,0,0,0,1,0,0
2,2,154,274.072077922078,1012.2012987013,91.7922077922078,6.64285714285714,141.298701298701,0,29.1168831168831,0,0,0,1,0,0,1,0,0,0,0,0
2,3,192,275.077083333333,1007.10416666667,100,7.34895833333333,122.708333333333,0,90.71875,0,0,0,0,0,0,0,0,0,1,0,0
2,4,140,275.385714285714,1003.8,100,5.32857142857143,127.642857142857,2.3775,90.1571428571429,0,1,0,0,0,0,0,0,0,0,1,0
2,5,107,275.036392523364,1010.17757009346,96.7757009345794,5.51401869158879,95.0841121495327,0,90.018691588785,0,0,1,0,0,0,0,0,1,0,0,0
2,6,118,274.387288135593,1024.89830508475,85.0169491525424,3.77118644067797,66.1864406779661,0,51.4237288135593,1,0,0,0,0,0,0,0,0,0,1,0
2,7,115,271.19347826087,1028.53913043478,80.9130434782609,5.77391304347826,70.6086956521739,0,87.7913043478261,0,0,0,0,1,0,0,0,0,0,0,1
2,8,131,270.928625954198,1032.90839694656,88.236641221374,3.94656488549618,80,0,87.8778625954198,0,0,0,0,0,1,0,0,0,0,0,1
2,9,113,270.070353982301,1035.0796460177,82.4336283185841,3.15929203539823,82.4778761061947,0,80.7964601769911,0,0,0,1,0,0,0,0,0,0,0,1
2,10,148,272.359459459459,1032.12837837838,85.9189189189189,6.33108108108108,99.9324324324324,0,65.5135135135135,0,0,0,0,0,0,1,0,0,0,0,0
2,11,90,272.694444444444,1033.06666666667,88.5888888888889,6.28888888888889,88.6666666666667,0,34.4,0,1,0,0,0,0,1,0,0,0,0,0
2,12,89,272.734269662921,1037.89887640449,89.4831460674157,5.53932584269663,103.370786516854,0,22.5168539325843,0,0,1,0,0,0,1,0,0,0,0,0
2,13,97,270.769645555627,1039.42268041237,80.0927835051546,0.948453608247423,128.536082474227,0.015,12.4536082474227,1,0,0,0,0,0,1,0,0,0,0,0
2,14,104,271.821737708189,1047.54807692308,99.6730769230769,1.00961538461538,39.125,0,0.134615384615385,0,0,0,0,1,0,1,0,0,0,0,0
2,15,95,273.962726315789,1043.87368421053,95.021052631579,2.35789473684211,179.010526315789,0,0.757894736842105,0,0,0,0,0,1,0,0,0,0,0,0
2,16,88,276.842715909091,1034,92.7386363636364,6.44318181818182,242.522727272727,3.37,82,0,0,0,1,0,0,0,0,0,0,0,0
